Filename,Predictions,Value
test/019ad163-9d5a-4ab0-99e8-2e265d85ffe5.jpg,cricket,1
test/01e8bbd6-2c39-465f-ae00-b3a27fb7ee47.png,baseball,0
test/02e9066d-9154-4d83-9bde-9e72e8366922.png,football,2
test/07e3baf2-597e-435a-a8f7-024eb2b0ace3.jpg,cricket,1
test/08452a2d-1dcf-4289-9d28-56ddbc01ff4f.jpg,football,2
test/09240896-2b78-4898-bf4a-a4ff658a5da6.jpg,cricket,1
test/099392cd-3e0e-4290-966d-8f63bc0a4b3f.jpg,baseball,0
test/099c5af6-874f-4b38-a43c-4db43c9c02fb.jpg,football,2
test/09d48fe9-4389-4dec-8456-4ccebc570314.jpg,football,2
test/0aa39c4a-195e-4b1b-a8ca-2e5ad08b484d.jpg,cricket,1
test/0aff16b7-cd5b-4e79-9425-f126ba5a83a4.jpg,baseball,0
test/0d3e9140-6fc3-4fc2-8eda-90c9cb4a1fe3.jpg,football,2
test/141ec68d-e643-46b6-a2c2-335c5d1462f3.jpg,cricket,1
test/14c4e82b-21f9-45b3-aca0-f8d7b65e4874.jpg,baseball,0
test/17c2c9b4-0ec6-4bf1-af79-e26207eea53b.png,football,2
test/1822c970-5e22-4280-9944-182cf317a058.jpg,baseball,0
test/197e6913-373b-4e48-b77c-75d9038f1beb.jpg,cricket,1
test/229360a8-1bda-4f2d-afec-b3e67beda133.jpg,football,2
test/252fa3af-82fa-4f2b-a831-127bcbd99177.jpeg,cricket,1
test/26780805-b922-4d48-9a50-fb9e1d0fa90d.jpg,cricket,1
test/281e7120-7038-4051-a4bb-455bbac0b912.jpg,cricket,1
test/2a52d2ec-8df5-44fa-990a-0e25ffadcf7f.jpg,football,2
test/2b82204d-9228-4642-a899-6221420cbc0d.jpg,baseball,0
test/2c395186-c0fc-4434-9b30-a0ae7b596d30.png,football,2
test/455b8100-472c-4699-8604-1a692f27003d.jpg,football,2
test/529e2503-fee3-46e3-8aa8-25f15c6d97fe.jpg,football,2
test/6a943be2-2629-4e75-9c9e-7718179bacbd.jpg,cricket,1
test/75ed83ae-f50b-4133-8f72-1e30a3ad5220.jpg,football,2
test/92d01c6e-2ddc-4b8a-b325-332dcce998aa.jpg,cricket,1
test/9665e43c-38b8-4230-9397-1d2856f8c64d.jpg,baseball,0
test/9dceabdb-5625-407d-bf36-679b8e92fc0a.jpg,football,2
test/9eb0aeaa-71d5-4515-8b72-6caa489a88ea.jpg,football,2
test/b49fa8ef-277a-40d8-a7da-25cdf18e7441.jpg,baseball,0
test/bca88436-81e7-4d8f-8f95-707dcf2f420e.jpg,football,2
test/c5290200-bf0c-4e68-8c85-11094c0cb789.jpg,cricket,1
test/d6fb8661-9cd7-477d-85fd-6c46349b7a77.png,football,2
test/e581a71b-ce13-49e9-ba9d-46467406b15c.jpg,football,2
test/e735b5de-abc8-485b-831d-f26bc6d393b9.jpg,cricket,1
test/eb3baf60-1147-4ec4-81a3-92b5c9bf4367.jpg,cricket,1
test/ec08c026-1e80-4b5b-913e-1a0bbc12493f.jpg,cricket,1
test/f2eeea85-9966-4f34-9769-7ef126490e3c.jpg,cricket,1
